id,age,education,marital,gender,ethnic,industry,income
0,51.965,17,0,1,0,5,76110
1,41.807,12,1,0,0,1,43216
2,36.331,12,1,0,1,3,52118
3,56.758,9,1,1,2,2,47770
4,31.051,14,0,0,0,0,34197
5,38.566,16,1,0,1,3,47409
6,33.908,14,0,1,1,0,29312
7,30.427,16,1,0,0,0,28161
8,47.262,16,2,0,2,1,37783
9,46.042,16,1,0,1,1,34490
10,47.074,16,0,1,2,5,70042
11,41.847,18,1,0,1,1,34447
12,52.254,12,1,0,1,5,92834
13,38.679,16,1,1,2,1,45089
14,52.662,14,1,0,0,7,118033
15,36.542,11,2,0,2,5,77203
16,45.266,12,1,1,0,0,27667
17,37.33,16,0,1,2,7,129729
18,38.109,19,2,0,0,0,24791
19,36.564,14,0,1,0,4,54484
20,50.081,17,0,0,1,0,28722
21,56.908,13,3,1,0,6,116690
22,45.678,17,1,0,1,1,27086
23,42.226,16,0,1,1,5,72511
24,36.883,20,1,1,0,4,74495
25,33.349,11,1,0,0,1,28482
26,52.475,16,0,0,1,6,81115
27,48.411,12,1,0,2,6,69597
28,48.199,17,0,1,1,4,49839
29,59.2,17,1,0,2,5,65212
30,58.395,16,2,1,1,3,40759
31,45.061,16,1,0,1,3,45851
32,44.847,12,0,0,2,5,64317
33,48.881,9,1,1,0,0,27625
34,40.123,18,1,0,1,0,30986
35,33.745,18,2,0,2,6,85817
36,54.07,17,1,0,0,1,37700
37,51.855,18,0,1,0,7,134363
38,31.226,16,1,1,1,4,67915
39,38.472,20,0,1,1,4,63504
40,35.542,18,2,1,2,2,42694
41,48.444,17,1,0,2,1,30046
42,57.725,12,0,0,1,2,48540
43,54.937,16,1,0,0,3,52517
44,58.597,12,1,0,2,0,28203
45,35.992,16,0,0,1,2,43426
46,37.466,16,0,1,2,6,91656
47,35.208,20,0,1,2,2,50227
48,52.923,16,0,1,0,4,64567
49,47.62,16,1,0,0,1,42592
50,43.256,16,0,0,1,1,39730
51,33.697,12,0,1,0,1,42939
52,47.343,12,1,1,2,6,103086
53,48.137,17,0,1,2,7,98931
54,42.618,16,1,1,0,4,61128
55,30.005,17,3,1,0,4,63903
56,57.372,12,1,1,2,6,99229
57,47.005,14,1,0,0,7,85493
58,45.169,16,0,0,0,7,97437
59,51.976,18,0,1,1,5,48477
60,42.237,16,1,0,2,5,68886
61,55.993,12,3,1,2,7,78634
62,59.078,18,2,1,1,2,47296
63,48.115,14,1,1,2,7,105304
64,55.103,16,0,1,2,5,88473
65,39.45,18,1,0,0,1,41508
66,44.711,18,0,0,2,2,41952
67,41.898,16,1,1,2,0,27436
68,50.534,12,1,1,1,4,58821
69,34.86,12,1,1,2,5,91726
70,37.402,12,1,1,1,0,28014
71,46.407,0,0,0,2,7,128862
72,33.048,12,0,1,2,1,32686
73,41.646,14,0,0,1,2,42077
74,36.529,17,2,1,2,6,112913
75,34.579,16,1,1,1,6,103966
76,31.186,14,1,1,0,6,126408
77,34.063,17,2,0,0,2,37310
78,46.909,12,1,0,2,5,44772
79,35.704,14,2,0,1,1,36775
80,53.478,16,0,0,2,7,77118
81,38.216,12,1,0,0,3,53374
82,39.071,13,1,0,1,3,53695
83,49.046,16,0,0,1,7,103177
84,53.262,16,1,0,0,3,50425
85,41.858,18,1,0,2,6,104737
86,41.093,19,1,1,1,0,25211
87,34.462,16,0,1,0,0,25521
88,46.278,16,1,0,2,0,28313
89,37.799,16,0,0,1,3,43914
90,39.587,12,0,0,0,1,30828
91,55.401,14,1,0,1,1,30532
92,45.801,13,0,1,0,4,73565
93,55.228,16,2,0,0,3,69192
94,39.29,16,2,1,1,6,65309
95,44.145,8,0,0,1,6,112081
96,33.699,16,1,1,1,4,48843
97,39.954,12,1,1,2,5,61367
98,33.478,14,0,0,1,2,43584
99,50.031,14,1,1,2,6,102002
100,42.055,12,1,1,1,5,48661
101,50.011,14,2,0,2,5,69890
102,46.002,14,2,0,1,1,36175
103,34.161,12,0,0,2,3,66367
104,41.88,19,1,0,1,1,48091
105,47.1,20,1,0,1,5,75456
106,35.843,16,0,0,1,0,27682
107,48.022,12,0,1,2,7,114451
108,38.567,12,1,0,1,7,121982
109,39.925,12,3,0,1,3,57985
110,55.033,20,0,1,2,5,44979
111,35.553,14,0,0,2,3,54777
112,45.184,16,0,0,0,3,64158
113,44.625,16,1,1,0,5,78375
114,37.469,16,1,1,1,1,46892
115,41.397,18,1,0,2,6,97955
116,45.882,13,1,1,0,2,35971
117,39.055,18,2,1,2,5,64039
118,38.863,17,1,0,0,3,55894
119,36.752,16,1,0,2,5,69389
120,37.539,12,1,1,0,4,64545
121,44.909,17,2,1,2,1,41884
122,37.88,19,1,0,2,7,104767
123,33.524,14,1,1,0,7,134221
124,51.305,18,1,1,0,2,32457
125,35.68,16,2,1,1,3,51847
126,54.59,17,0,1,1,0,31817
127,43.352,16,1,0,1,1,28530
128,33.938,13,1,0,2,7,115709
129,44.699,18,1,1,0,1,42614
130,31.986,14,1,1,2,6,81802
131,44.004,22,1,0,2,5,64205
132,59.284,18,2,1,2,6,59457
133,53.745,16,1,1,1,3,38630
134,37.438,13,0,1,1,7,156134
135,38.852,14,2,1,1,4,58283
136,31.032,12,1,0,1,0,29869
